event_id,layer,phi,theta,momentum,energy
1,1,-2.187012,0.823001,45.231000,3.142000
1,1,-2.201453,0.851234,41.982000,2.987000
1,2,-2.198765,0.834521,48.123000,3.501000
1,3,-2.175432,0.867890,42.654000,3.211000
1,3,-2.190123,0.845678,43.217000,2.876000
2,1,0.123456,1.234567,62.345000,5.678000
2,1,0.134567,1.245678,58.901000,5.234000
2,2,0.125678,1.236789,64.123000,5.901000
2,2,0.141234,1.251234,60.456000,5.345000
2,3,0.128901,1.239012,61.789000,5.567000
3,1,1.987654,2.101234,33.456000,2.345000
3,2,1.976543,2.092345,35.678000,2.567000
3,2,1.998765,2.109876,31.234000,2.123000
3,3,1.965432,2.083456,37.890000,2.789000
4,1,-0.876543,0.567890,78.901000,7.234000
4,1,-0.887654,0.578901,74.567000,6.890000
4,2,-0.865432,0.556789,81.234000,7.567000
4,3,-0.854321,0.545678,83.456000,7.890000
4,3,-0.843210,0.534567,85.678000,8.123000
5,1,3.041234,1.654321,51.234000,4.321000
5,1,3.029876,1.643210,49.876000,4.098000
5,2,3.052345,1.665432,52.567000,4.456000
5,3,3.063456,1.676543,53.890000,4.567000
6,1,-1.543210,0.987654,67.890000,6.123000
6,2,-1.554321,0.998765,65.432000,5.876000
6,2,-1.532109,0.976543,70.234000,6.456000
6,3,-1.521098,0.965432,72.345000,6.678000
7,1,0.654321,1.876543,29.876000,1.987000
7,1,0.665432,1.887654,27.543000,1.765000
7,2,0.643210,1.865432,32.109000,2.109000
7,3,0.632109,1.854321,34.234000,2.234000
8,1,-3.098765,2.345678,88.901000,8.901000
8,1,-3.109876,2.356789,86.543000,8.654000
8,2,-3.087654,2.334567,91.234000,9.123000
8,3,-3.076543,2.323456,93.456000,9.345000
8,3,-3.065432,2.312345,95.678000,9.567000
9,1,2.345678,0.432109,41.234000,3.456000
9,2,2.356789,0.443210,43.456000,3.678000
9,2,2.334567,0.421098,39.012000,3.234000
9,3,2.323456,0.410987,37.890000,3.012000
10,1,-0.234567,1.098765,56.789000,4.987000
10,1,-0.245678,1.109876,54.432000,4.765000
10,2,-0.223456,1.087654,59.123000,5.210000
10,3,-0.212345,1.076543,61.345000,5.432000
10,3,-0.201234,1.065432,63.567000,5.654000
